name,Legal representative,Registration time,Registered capital,Address,Contact person,Telephone,Company nature
蓝天科技有限公司,张晓明,2019年5月12日,100 万元,北京市朝阳区光华路1号,李娜,13712345678,民营有限公司
金盛集团股份有限公司,王小红,2020年8月28日,50 万元,上海市浦东新区世纪大道100号,王伟,15987654321,股份有限公司
华源医药科技集团有限公司,李大伟,2018年3月7日,80 万元,广州市天河区珠江新城华夏路20号,张秀英,18623456789,一人有限公司
星火网络技术有限公司,刘小芳,2021年10月15日,120 万元,深圳市福田区华强北路8号,刘健,13898765432,股份有限公司
花样年华文化传媒有限公司,赵丽丽,2017年6月20日,200 万元,杭州市西湖区文一西路18号,张雨欣,15234567890,民营有限公司
前程无忧信息技术有限公司,周伟强,2022年1月3日,150 万元,成都市高新区天府大道北段666号,王鹏,18787654321,一人有限公司
铭晟投资管理有限公司,陈小龙,2016年11月9日,90 万元,武汉市洪山区珞瑜路1037号,李晓红,13567891234,股份有限公司
宏图大集团有限公司,杨丽华,2023年4月30日,180 万元,南京市鼓楼区中山北路99号,赵宇,18212345678,民营有限公司
创新科技股份有限公司,黄志勇,2015年9月18日,60 万元,重庆市渝中区解放碑步行街,王丽华,13345678901,一人有限公司
幸福生活百货有限公司,许美丽,2024年7月25日,130 万元,西安市雁塔区曲江新区大唐不夜城,刘强,15098765432,民营有限公司